Sub-network,Date,Latency (ms), MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [5, 5, 3, 3, 7, 5, 5, 7, 5, 5, 7, 3, 3, 7, 7, 3, 7, 7, 7, 3], 'e': [4, 3, 3, 4, 4, 4, 4, 4, 6, 3, 6, 4, 6, 6, 4, 3, 6, 6, 4, 6], 'd': [2, 2, 4, 4, 4], 'r': [224]}",2022-07-07 04:52:53.410982,0,450388048,78.528
"{'wid': None, 'ks': [3, 5, 3, 3, 7, 7, 5, 7, 7, 5, 7, 3, 3, 7, 7, 3, 7, 5, 7, 3], 'e': [4, 4, 3, 6, 4, 6, 4, 3, 3, 4, 4, 4, 4, 6, 3, 3, 6, 6, 4, 4], 'd': [2, 2, 2, 4, 3], 'r': [224]}",2022-07-07 04:54:34.712827,0,380658288,77.916
"{'wid': None, 'ks': [5, 5, 3, 5, 7, 5, 5, 7, 5, 5, 7, 3, 3, 7, 7, 3, 7, 7, 7, 3], 'e': [6, 3, 3, 4, 4, 4, 4, 4, 6, 3, 6, 4, 6, 6, 4, 3, 6, 6, 4, 6], 'd': [2, 3, 4, 4, 4], 'r': [224]}",2022-07-07 04:56:36.801377,0,491651152,78.654
"{'wid': None, 'ks': [5, 5, 3, 5, 7, 5, 5, 7, 5, 5, 7, 3, 3, 7, 7, 3, 7, 7, 7, 3], 'e': [4, 4, 3, 4, 4, 4, 4, 4, 6, 3, 6, 4, 4, 6, 4, 3, 6, 6, 4, 6], 'd': [2, 2, 4, 4, 4], 'r': [224]}",2022-07-07 04:58:29.910449,0,450157904,78.572
"{'wid': None, 'ks': [3, 5, 3, 3, 7, 5, 5, 7, 7, 5, 7, 3, 3, 7, 7, 3, 7, 5, 7, 3], 'e': [4, 4, 3, 4, 4, 6, 4, 3, 3, 4, 4, 4, 4, 6, 3, 3, 4, 6, 4, 4], 'd': [2, 2, 2, 4, 3], 'r': [224]}",2022-07-07 05:00:02.789349,0,364585312,77.734
"{'wid': None, 'ks': [5, 5, 3, 5, 7, 5, 5, 7, 5, 5, 7, 3, 3, 7, 7, 3, 7, 7, 7, 3], 'e': [4, 3, 3, 4, 4, 4, 4, 4, 6, 3, 6, 4, 6, 6, 4, 3, 6, 6, 4, 6], 'd': [2, 2, 4, 4, 4], 'r': [224]}",2022-07-07 05:01:56.100949,0,450388048,78.528
"{'wid': None, 'ks': [3, 5, 3, 5, 7, 7, 5, 7, 7, 5, 7, 3, 3, 7, 7, 3, 7, 5, 7, 3], 'e': [4, 4, 3, 4, 4, 6, 4, 3, 3, 4, 4, 4, 4, 6, 3, 3, 6, 6, 4, 4], 'd': [2, 2, 2, 4, 3], 'r': [224]}",2022-07-07 05:03:30.998378,0,380658288,77.916
"{'wid': None, 'ks': [5, 5, 3, 5, 7, 7, 5, 7, 7, 5, 7, 3, 3, 7, 7, 3, 7, 5, 7, 3], 'e': [4, 4, 3, 4, 4, 6, 4, 3, 6, 3, 4, 4, 4, 6, 4, 3, 6, 6, 4, 3], 'd': [2, 2, 4, 4, 4], 'r': [224]}",2022-07-07 05:05:23.511484,0,444047888,78.618
"{'wid': None, 'ks': [3, 5, 3, 3, 7, 7, 5, 7, 7, 5, 7, 3, 3, 7, 7, 3, 7, 5, 7, 3], 'e': [4, 4, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 6, 4, 3, 6, 6, 4, 3], 'd': [2, 2, 4, 4, 4], 'r': [224]}",2022-07-07 05:07:14.402317,0,422866256,78.462
"{'wid': None, 'ks': [5, 5, 3, 3, 7, 7, 5, 7, 7, 5, 7, 3, 3, 7, 7, 3, 7, 7, 7, 3], 'e': [4, 4, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 6, 4, 3, 6, 6, 4, 3], 'd': [2, 2, 4, 4, 4], 'r': [224]}",2022-07-07 05:09:08.710888,0,429037904,78.42
"{'wid': None, 'ks': [3, 5, 3, 3, 7, 7, 5, 7, 7, 5, 7, 3, 3, 7, 7, 3, 7, 5, 7, 3], 'e': [4, 4, 3, 6, 4, 6, 4, 3, 3, 4, 4, 4, 4, 6, 3, 3, 4, 6, 4, 4], 'd': [2, 2, 2, 4, 3], 'r': [224]}",2022-07-07 05:10:47.396739,0,370004320,77.748
"{'wid': None, 'ks': [5, 7, 3, 5, 7, 7, 5, 7, 5, 5, 7, 3, 3, 7, 7, 3, 7, 7, 7, 3], 'e': [6, 3, 3, 4, 4, 4, 4, 4, 6, 3, 6, 4, 6, 6, 4, 3, 6, 6, 4, 6], 'd': [2, 3, 4, 4, 4], 'r': [224]}",2022-07-07 05:12:43.412251,0,502489168,78.668
"{'wid': None, 'ks': [5, 5, 3, 5, 7, 7, 5, 7, 5, 5, 7, 3, 3, 7, 7, 3, 7, 7, 7, 3], 'e': [4, 4, 3, 4, 4, 4, 4, 4, 6, 3, 4, 4, 6, 6, 4, 3, 6, 6, 4, 6], 'd': [2, 3, 4, 4, 4], 'r': [224]}",2022-07-07 05:14:38.507848,0,472095056,78.61
"{'wid': None, 'ks': [5, 5, 3, 5, 7, 5, 5, 7, 5, 5, 7, 3, 3, 7, 7, 3, 7, 7, 7, 3], 'e': [4, 4, 3, 4, 4, 4, 4, 4, 6, 3, 6, 4, 6, 6, 4, 3, 6, 6, 4, 6], 'd': [2, 3, 4, 4, 4], 'r': [224]}",2022-07-07 05:16:42.402111,0,477551696,78.66
"{'wid': None, 'ks': [3, 5, 3, 3, 7, 7, 5, 7, 7, 5, 7, 3, 3, 7, 7, 3, 7, 5, 7, 3], 'e': [4, 4, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 6, 3, 3, 4, 6, 4, 4], 'd': [2, 2, 2, 4, 3], 'r': [224]}",2022-07-07 05:18:22.795992,0,359068000,77.674
"{'wid': None, 'ks': [3, 5, 3, 3, 7, 7, 5, 7, 7, 5, 7, 3, 3, 7, 7, 3, 7, 5, 7, 3], 'e': [4, 4, 3, 4, 4, 6, 4, 3, 3, 4, 4, 4, 6, 6, 3, 3, 6, 6, 4, 3], 'd': [2, 2, 2, 4, 3], 'r': [224]}",2022-07-07 05:20:00.386564,0,389819760,77.982
